
Image Name                     PID Session Name        Session#    Mem Usage
chrome.exe                   10964 Console                    4     28,652 K
svchost.exe                  13496 Services                   0     17,544 K
svchost.exe                  12124 Services                   0      8,096 K
svchost.exe                   2680 Services                   0      7,572 K
SearchProtocolHost.exe       14600 Console                    4      8,588 K
SearchFilterHost.exe         18124 Services                   0      7,576 K
chrome.exe                     276 Console                    4    156,560 K
cargo.exe                    14784 Console                    4     10,828 K
cargo.exe                    14480 Console                    4     18,656 K
github_version.exe           15516 Console                    4     11,364 K
cmd.exe                      13300 Console                    4      4,560 K
conhost.exe                  10852 Console                    4     11,652 K
tasklist.exe                 16124 Console                    4      9,472 K
WmiPrvSE.exe                   448 Services                   0     10,236 K
